medfile	rat	session	sessioncode	date	diet	bottleA	bottleB	licksA	licksB	include	endcol
!2016-08-08_15h21m.Subject 20	cas9.20	12		160808	lp					0	0
!2016-08-08_16h56m.Subject 21	cas9.21	12		160808	lp					0	0
!2016-08-08_14h12m.Subject 21	cas9.22	12		160808	lp					0	0
!2016-08-08_15h21m.Subject 23	cas9.23	12		160808	lp					0	0
!2016-08-08_16h56m.Subject 24	cas9.24	12		160808	lp					0	0
!2016-08-09_07h46m.Subject 1	cas9.1	13		160809	np					0	0
!2016-08-09_08h52m.Subject 2	cas9.2	13		160809	np					0	0
!2016-08-09_09h57m.Subject 3	cas9.3	13		160809	np					0	0
!2016-08-09_07h46m.Subject 4	cas9.4	13		160809	np					0	0
!2016-08-09_08h52m.Subject 5	cas9.5	13		160809	np					0	0
!2016-08-09_09h57m.Subject 6	cas9.6	13		160809	np					0	0
!2016-08-09_11h01m.Subject 7	cas9.7	13		160809	np					0	0
!2016-08-09_12h12m.Subject 8	cas9.8	13		160809	np					0	0
!2016-08-09_13h18m.Subject 9	cas9.9	13		160809	np					0	0
!2016-08-09_11h01m.Subject 10	cas9.10	13		160809	np					0	0
!2016-08-09_12h12m.Subject 11	cas9.11	13		160809	np					0	0
!2016-08-09_13h18m.Subject 12	cas9.12	13		160809	np					0	0
!2016-08-09_07h46m.Subject 13	cas9.13	13		160809	lp					0	0
!2016-08-09_08h52m.Subject 14	cas9.14	13		160809	lp					0	0
!2016-08-09_09h57m.Subject 15	cas9.15	13		160809	lp					0	0
!2016-08-09_07h46m.Subject 16	cas9.16	13		160809	lp					0	0
!2016-08-09_08h52m.Subject 17	cas9.17	13		160809	lp					0	0
!2016-08-09_09h57m.Subject 18	cas9.18	13		160809	lp					0	0
!2016-08-09_11h01m.Subject 19	cas9.19	13		160809	lp					0	0
!2016-08-09_12h12m.Subject 20	cas9.20	13		160809	lp					0	0
!2016-08-09_13h18m.Subject 21	cas9.21	13		160809	lp					0	0
!2016-08-09_11h01m.Subject 22	cas9.22	13		160809	lp					0	0
!2016-08-09_12h12m.Subject 23	cas9.23	13		160809	lp					0	0
!2016-08-09_13h18m.Subject 24	cas9.24	13		160809	lp					0	0
!2016-08-10_07h47m.Subject 1	cas9.1	14		160810	np					0	0
!2016-08-10_08h59m.Subject 2	cas9.2	14		160810	np					0	0
!2016-08-10_10h05m.Subject 3	cas9.3	14		160810	np					0	0
!2016-08-10_07h47m.Subject 4	cas9.4	14		160810	np					0	0
!2016-08-10_08h59m.Subject 5	cas9.5	14		160810	np					0	0
!2016-08-10_10h06m.Subject 6	cas9.6	14		160810	np					0	0
!2016-08-10_11h16m.Subject 7	cas9.7	14		160810	np					0	0
!2016-08-10_13h57m.Subject 8	cas9.8	14		160810	np					0	0
!2016-08-10_15h08m.Subject 9	cas9.9	14		160810	np					0	0
!2016-08-10_11h16m.Subject 10	cas9.10	14		160810	np					0	0
!2016-08-10_13h57m.Subject 11	cas9.11	14		160810	np					0	0
!2016-08-10_15h08m.Subject 12	cas9.12	14		160810	np					0	0
!2016-08-10_07h47m.Subject 13	cas9.13	14		160810	lp					0	0
!2016-08-10_08h59m.Subject 14	cas9.14	14		160810	lp					0	0
!2016-08-10_10h06m.Subject 15	cas9.15	14		160810	lp					0	0
!2016-08-10_07h47m.Subject 16	cas9.16	14		160810	lp					0	0
!2016-08-10_08h59m.Subject 17	cas9.17	14		160810	lp					0	0
!2016-08-10_10h06m.Subject 18	cas9.18	14		160810	lp					0	0
!2016-08-10_11h16m.Subject 19	cas9.19	14		160810	lp					0	0
!2016-08-10_13h57m.Subject 20	cas9.20	14		160810	lp					0	0
!2016-08-10_15h08m.Subject 21	cas9.21	14		160810	lp					0	0
!2016-08-10_11h16m.Subject 22	cas9.22	14		160810	lp					0	0
!2016-08-10_13h59m.Subject 23	cas9.23	14		160810	lp					0	0
!2016-08-10_15h08m.Subject 24	cas9.24	14		160810	lp					0	0
!2016-08-11_07h51m.Subject 1	cas9.1	15		160811	np					0	0
!2016-08-11_09h01m.Subject 2	cas9.2	15		160811	np					0	0
!2016-08-11_10h06m.Subject 3	cas9.3	15		160811	np					0	0
!2016-08-11_07h51m.Subject 4	cas9.4	15		160811	np					0	0
!2016-08-11_09h01m.Subject 5	cas9.5	15		160811	np					0	0
!2016-08-11_10h06m.Subject 6	cas9.6	15		160811	np					0	0
!2016-08-11_11h11m.Subject 7	cas9.7	15		160811	np					0	0
!2016-08-11_12h19m.Subject 8	cas9.8	15		160811	np					0	0
!2016-08-11_13h24m.Subject 9	cas9.9	15		160811	np					0	0
!2016-08-11_11h11m.Subject 10	cas9.10	15		160811	np					0	0
!2016-08-11_12h19m.Subject 11	cas9.11	15		160811	np					0	0
!2016-08-11_13h24m.Subject 12	cas9.12	15		160811	np					0	0
!2016-08-11_07h51m.Subject 13	cas9.13	15		160811	lp					0	0
!2016-08-11_09h01m.Subject 14	cas9.14	15		160811	lp					0	0
!2016-08-11_10h06m.Subject 15	cas9.15	15		160811	lp					0	0
!2016-08-11_07h51m.Subject 16	cas9.16	15		160811	lp					0	0
!2016-08-11_09h01m.Subject 17	cas9.17	15		160811	lp					0	0
!2016-08-11_10h06m.Subject 18	cas9.18	15		160811	lp					0	0
!2016-08-11_11h11m.Subject 19	cas9.19	15		160811	lp					0	0
!2016-08-11_12h19m.Subject 20	cas9.20	15		160811	lp					0	0
!2016-08-11_13h24m.Subject 21	cas9.21	15		160811	lp					0	0
!2016-08-11_11h11m.Subject 22	cas9.22	15		160811	lp					0	0
!2016-08-11_12h19m.Subject 23	cas9.23	15		160811	lp					0	0
!2016-08-11_13h24m.Subject 24	cas9.24	15		160811	lp					0	0
!2016-08-12_08h10m.Subject 1	cas9.1	16		160812	np					0	0
!2016-08-12_09h33m.Subject 2	cas9.2	16		160812	np					0	0
!2016-08-12_10h44m.Subject 3	cas9.3	16		160812	np					0	0
!2016-08-12_08h10m.Subject 4	cas9.4	16		160812	np					0	0
!2016-08-12_09h33m.Subject 5	cas9.5	16		160812	np					0	0
!2016-08-12_10h44m.Subject 6	cas9.6	16		160812	np					0	0
!2016-08-12_11h52m.Subject 7	cas9.7	16		160812	np					0	0
!2016-08-12_14h19m.Subject 8	cas9.8	16		160812	np					0	0
!2016-08-12_15h29m.Subject 9	cas9.9	16		160812	np					0	0
!2016-08-12_11h52m.Subject 10	cas9.10	16		160812	np					0	0
!2016-08-12_14h19m.Subject 11	cas9.11	16		160812	np					0	0
!2016-08-12_15h29m.Subject 12	cas9.12	16		160812	np					0	0
!2016-08-12_08h10m.Subject 13	cas9.13	16		160812	lp					0	0
!2016-08-12_09h33m.Subject 14	cas9.14	16		160812	lp					0	0
!2016-08-12_10h44m.Subject 15	cas9.15	16		160812	lp					0	0
!2016-08-12_08h10m.Subject 16	cas9.16	16		160812	lp					0	0
!2016-08-12_09h33m.Subject 17	cas9.17	16		160812	lp					0	0
!2016-08-12_10h44m.Subject 18	cas9.18	16		160812	lp					0	0
!2016-08-12_11h52m.Subject 19	cas9.19	16		160812	lp					0	0
!2016-08-12_14h19m.Subject 20	cas9.20	16		160812	lp					0	0
!2016-08-12_15h29m.Subject 21	cas9.21	16		160812	lp					0	0
!2016-08-12_11h52m.Subject 22	cas9.22	16		160812	lp					0	0
!2016-08-12_14h19m.Subject 23	cas9.23	16		160812	lp					0	0
!2016-08-12_15h29m.Subject 24	cas9.24	16		160812	lp					0	0
